Log_Date,ATM_ID,Location_Type,Region,Max_Capacity_IDR,Beginning_Cash_IDR,Replenishment_Amount_IDR,Target_Demand_IDR,Actual_Withdrawal_IDR,Ending_Cash_IDR,Is_Stockout,Holding_Cost_IDR,Logistics_Cost_IDR,Stockout_Penalty_Cost_IDR
2025-11-13,ATM-001,Shopping Mall,Jakarta Pusat,800000000,464600000.0,0.0,56500000.0,56500000.0,408100000.0,0,59773.97,0.0,0
2025-11-14,ATM-001,Shopping Mall,Jakarta Pusat,800000000,408100000.0,0.0,34100000.0,34100000.0,374000000.0,0,53568.49,0.0,0
2025-11-15,ATM-001,Shopping Mall,Jakarta Pusat,800000000,374000000.0,0.0,84800000.0,84800000.0,289200000.0,0,45424.66,0.0,0
2025-11-16,ATM-001,Shopping Mall,Jakarta Pusat,800000000,289200000.0,0.0,110200000.0,110200000.0,179000000.0,0,32068.49,0.0,0
2025-11-17,ATM-001,Shopping Mall,Jakarta Pusat,800000000,179000000.0,0.0,37300000.0,37300000.0,141700000.0,0,21965.75,0.0,0
2025-11-18,ATM-001,Shopping Mall,Jakarta Pusat,800000000,141700000.0,658300000.0,60200000.0,60200000.0,739800000.0,0,60376.71,372000.0,0
2025-11-19,ATM-001,Shopping Mall,Jakarta Pusat,800000000,739800000.0,0.0,26800000.0,26800000.0,713000000.0,0,99506.85,0.0,0
2025-11-20,ATM-001,Shopping Mall,Jakarta Pusat,800000000,713000000.0,0.0,35000000.0,35000000.0,678000000.0,0,95273.97,0.0,0
2025-11-21,ATM-001,Shopping Mall,Jakarta Pusat,800000000,678000000.0,0.0,52100000.0,52100000.0,625900000.0,0,89308.22,0.0,0
2025-11-22,ATM-001,Shopping Mall,Jakarta Pusat,800000000,625900000.0,0.0,60800000.0,60800000.0,565100000.0,0,81575.34,0.0,0
2025-11-23,ATM-001,Shopping Mall,Jakarta Pusat,800000000,565100000.0,0.0,121200000.0,121200000.0,443900000.0,0,69109.59,0.0,0
2025-11-24,ATM-001,Shopping Mall,Jakarta Pusat,800000000,443900000.0,0.0,67700000.0,67700000.0,376200000.0,0,56171.23,0.0,0
2025-11-25,ATM-001,Shopping Mall,Jakarta Pusat,800000000,376200000.0,0.0,33000000.0,33000000.0,343200000.0,0,49273.97,0.0,0
2025-11-26,ATM-001,Shopping Mall,Jakarta Pusat,800000000,343200000.0,0.0,51200000.0,51200000.0,292000000.0,0,43506.85,0.0,0
2025-11-27,ATM-001,Shopping Mall,Jakarta Pusat,800000000,292000000.0,0.0,40100000.0,40100000.0,251900000.0,0,37253.42,0.0,0
2025-11-28,ATM-001,Shopping Mall,Jakarta Pusat,800000000,251900000.0,0.0,32500000.0,32500000.0,219400000.0,0,32280.82,0.0,0
2025-11-29,ATM-001,Shopping Mall,Jakarta Pusat,800000000,219400000.0,0.0,103100000.0,103100000.0,116300000.0,0,22993.15,0.0,0
2025-11-30,ATM-001,Shopping Mall,Jakarta Pusat,800000000,116300000.0,683700000.0,101900000.0,101900000.0,698100000.0,0,55780.82,372000.0,0
2025-12-01,ATM-001,Shopping Mall,Jakarta Pusat,800000000,698100000.0,0.0,39200000.0,39200000.0,658900000.0,0,92945.21,0.0,0
2025-12-02,ATM-001,Shopping Mall,Jakarta Pusat,800000000,658900000.0,0.0,65900000.0,65900000.0,593000000.0,0,85746.58,0.0,0
2025-12-03,ATM-001,Shopping Mall,Jakarta Pusat,800000000,593000000.0,0.0,41100000.0,41100000.0,551900000.0,0,78417.81,0.0,0
2025-12-04,ATM-001,Shopping Mall,Jakarta Pusat,800000000,551900000.0,0.0,41600000.0,41600000.0,510300000.0,0,72753.42,0.0,0
2025-12-05,ATM-001,Shopping Mall,Jakarta Pusat,800000000,510300000.0,0.0,53700000.0,53700000.0,456600000.0,0,66226.03,0.0,0
2025-12-06,ATM-001,Shopping Mall,Jakarta Pusat,800000000,456600000.0,0.0,108000000.0,108000000.0,348600000.0,0,55150.68,0.0,0
2025-12-07,ATM-001,Shopping Mall,Jakarta Pusat,800000000,348600000.0,0.0,55800000.0,55800000.0,292800000.0,0,43931.51,0.0,0
2025-12-08,ATM-001,Shopping Mall,Jakarta Pusat,800000000,292800000.0,0.0,35800000.0,35800000.0,257000000.0,0,37657.53,0.0,0
2025-12-09,ATM-001,Shopping Mall,Jakarta Pusat,800000000,257000000.0,0.0,63800000.0,63800000.0,193200000.0,0,30835.62,0.0,0
2025-12-10,ATM-001,Shopping Mall,Jakarta Pusat,800000000,193200000.0,0.0,32300000.0,32300000.0,160900000.0,0,24253.42,0.0,0
2025-12-11,ATM-001,Shopping Mall,Jakarta Pusat,800000000,160900000.0,0.0,66400000.0,66400000.0,94500000.0,0,17493.15,0.0,0
2025-12-12,ATM-001,Shopping Mall,Jakarta Pusat,800000000,94500000.0,705500000.0,32400000.0,32400000.0,767600000.0,0,59047.95,372000.0,0
2025-12-13,ATM-001,Shopping Mall,Jakarta Pusat,800000000,767600000.0,0.0,70800000.0,70800000.0,696800000.0,0,100301.37,0.0,0
2025-12-14,ATM-001,Shopping Mall,Jakarta Pusat,800000000,696800000.0,0.0,90200000.0,90200000.0,606600000.0,0,89273.97,0.0,0
2025-12-15,ATM-001,Shopping Mall,Jakarta Pusat,800000000,606600000.0,0.0,45100000.0,45100000.0,561500000.0,0,80006.85,0.0,0
2025-12-16,ATM-001,Shopping Mall,Jakarta Pusat,800000000,561500000.0,0.0,43600000.0,43600000.0,517900000.0,0,73931.51,0.0,0
2025-12-17,ATM-001,Shopping Mall,Jakarta Pusat,800000000,517900000.0,0.0,37800000.0,37800000.0,480100000.0,0,68356.16,0.0,0
2025-12-18,ATM-001,Shopping Mall,Jakarta Pusat,800000000,480100000.0,0.0,50400000.0,50400000.0,429700000.0,0,62315.07,0.0,0
2025-12-19,ATM-001,Shopping Mall,Jakarta Pusat,800000000,429700000.0,0.0,33300000.0,33300000.0,396400000.0,0,56582.19,0.0,0
2025-12-20,ATM-001,Shopping Mall,Jakarta Pusat,800000000,396400000.0,0.0,126900000.0,126900000.0,269500000.0,0,45609.59,0.0,0
2025-12-21,ATM-001,Shopping Mall,Jakarta Pusat,800000000,269500000.0,0.0,86900000.0,86900000.0,182600000.0,0,30965.75,0.0,0
2025-12-22,ATM-001,Shopping Mall,Jakarta Pusat,800000000,182600000.0,0.0,29900000.0,29900000.0,152700000.0,0,22965.75,0.0,0
2025-12-23,ATM-001,Shopping Mall,Jakarta Pusat,800000000,152700000.0,647300000.0,41600000.0,41600000.0,758400000.0,0,62404.11,372000.0,0
2025-12-24,ATM-001,Shopping Mall,Jakarta Pusat,800000000,758400000.0,0.0,32800000.0,32800000.0,725600000.0,0,101643.84,0.0,0
2025-12-25,ATM-001,Shopping Mall,Jakarta Pusat,800000000,725600000.0,0.0,33800000.0,33800000.0,691800000.0,0,97082.19,0.0,0
2025-12-26,ATM-001,Shopping Mall,Jakarta Pusat,800000000,691800000.0,0.0,42800000.0,42800000.0,649000000.0,0,91835.62,0.0,0
2025-12-27,ATM-001,Shopping Mall,Jakarta Pusat,800000000,649000000.0,0.0,92400000.0,92400000.0,556600000.0,0,82575.34,0.0,0
2025-12-28,ATM-001,Shopping Mall,Jakarta Pusat,800000000,556600000.0,0.0,79300000.0,79300000.0,477300000.0,0,70815.07,0.0,0
2025-12-29,ATM-001,Shopping Mall,Jakarta Pusat,800000000,477300000.0,0.0,31100000.0,31100000.0,446200000.0,0,63253.42,0.0,0
2025-12-30,ATM-001,Shopping Mall,Jakarta Pusat,800000000,446200000.0,0.0,59700000.0,59700000.0,386500000.0,0,57034.25,0.0,0
2025-12-31,ATM-001,Shopping Mall,Jakarta Pusat,800000000,386500000.0,0.0,49200000.0,49200000.0,337300000.0,0,49575.34,0.0,0
2026-01-01,ATM-001,Shopping Mall,Jakarta Pusat,800000000,337300000.0,0.0,47500000.0,47500000.0,289800000.0,0,42952.05,0.0,0
2026-01-02,ATM-001,Shopping Mall,Jakarta Pusat,800000000,289800000.0,0.0,32000000.0,32000000.0,257800000.0,0,37506.85,0.0,0
2026-01-03,ATM-001,Shopping Mall,Jakarta Pusat,800000000,257800000.0,0.0,84300000.0,84300000.0,173500000.0,0,29541.1,0.0,0
2026-01-04,ATM-001,Shopping Mall,Jakarta Pusat,800000000,173500000.0,0.0,110900000.0,110900000.0,62600000.0,0,16171.23,0.0,0
2026-01-05,ATM-001,Shopping Mall,Jakarta Pusat,800000000,62600000.0,737400000.0,50000000.0,50000000.0,750000000.0,0,55657.53,372000.0,0
2026-01-06,ATM-001,Shopping Mall,Jakarta Pusat,800000000,750000000.0,0.0,39400000.0,39400000.0,710600000.0,0,100041.1,0.0,0
2026-01-07,ATM-001,Shopping Mall,Jakarta Pusat,800000000,710600000.0,0.0,50200000.0,50200000.0,660400000.0,0,93904.11,0.0,0
2026-01-08,ATM-001,Shopping Mall,Jakarta Pusat,800000000,660400000.0,0.0,35000000.0,35000000.0,625400000.0,0,88068.49,0.0,0
2026-01-09,ATM-001,Shopping Mall,Jakarta Pusat,800000000,625400000.0,0.0,38900000.0,38900000.0,586500000.0,0,83006.85,0.0,0
2026-01-10,ATM-001,Shopping Mall,Jakarta Pusat,800000000,586500000.0,0.0,87700000.0,87700000.0,498800000.0,0,74335.62,0.0,0
2026-01-11,ATM-001,Shopping Mall,Jakarta Pusat,800000000,498800000.0,0.0,99100000.0,99100000.0,399700000.0,0,61541.1,0.0,0
2026-01-12,ATM-001,Shopping Mall,Jakarta Pusat,800000000,399700000.0,0.0,38100000.0,38100000.0,361600000.0,0,52143.84,0.0,0
2026-01-13,ATM-001,Shopping Mall,Jakarta Pusat,800000000,361600000.0,0.0,68000000.0,68000000.0,293600000.0,0,44876.71,0.0,0
2026-01-14,ATM-001,Shopping Mall,Jakarta Pusat,800000000,293600000.0,0.0,69100000.0,69100000.0,224500000.0,0,35486.3,0.0,0
2026-01-15,ATM-001,Shopping Mall,Jakarta Pusat,800000000,224500000.0,0.0,48100000.0,48100000.0,176400000.0,0,27458.9,0.0,0
2026-01-16,ATM-001,Shopping Mall,Jakarta Pusat,800000000,176400000.0,0.0,39500000.0,39500000.0,136900000.0,0,21458.9,0.0,0
2026-01-17,ATM-001,Shopping Mall,Jakarta Pusat,800000000,136900000.0,663100000.0,69200000.0,69200000.0,730800000.0,0,59431.51,372000.0,0
2026-01-18,ATM-001,Shopping Mall,Jakarta Pusat,800000000,730800000.0,0.0,98800000.0,98800000.0,632000000.0,0,93342.47,0.0,0
2026-01-19,ATM-001,Shopping Mall,Jakarta Pusat,800000000,632000000.0,0.0,42300000.0,42300000.0,589700000.0,0,83678.08,0.0,0
2026-01-20,ATM-001,Shopping Mall,Jakarta Pusat,800000000,589700000.0,0.0,42300000.0,42300000.0,547400000.0,0,77883.56,0.0,0
2026-01-21,ATM-001,Shopping Mall,Jakarta Pusat,800000000,547400000.0,0.0,70400000.0,70400000.0,477000000.0,0,70164.38,0.0,0
2026-01-22,ATM-001,Shopping Mall,Jakarta Pusat,800000000,477000000.0,0.0,50800000.0,50800000.0,426200000.0,0,61863.01,0.0,0
2026-01-23,ATM-001,Shopping Mall,Jakarta Pusat,800000000,426200000.0,0.0,31800000.0,31800000.0,394400000.0,0,56205.48,0.0,0
2026-01-24,ATM-001,Shopping Mall,Jakarta Pusat,800000000,394400000.0,0.0,121900000.0,121900000.0,272500000.0,0,45678.08,0.0,0
2026-01-25,ATM-001,Shopping Mall,Jakarta Pusat,800000000,272500000.0,0.0,101700000.0,101700000.0,170800000.0,0,30363.01,0.0,0
2026-01-26,ATM-001,Shopping Mall,Jakarta Pusat,800000000,170800000.0,0.0,32800000.0,32800000.0,138000000.0,0,21150.68,0.0,0
2026-01-27,ATM-001,Shopping Mall,Jakarta Pusat,800000000,138000000.0,662000000.0,51400000.0,51400000.0,748600000.0,0,60726.03,372000.0,0
2026-01-28,ATM-001,Shopping Mall,Jakarta Pusat,800000000,748600000.0,0.0,41100000.0,41100000.0,707500000.0,0,99732.88,0.0,0
2026-01-29,ATM-001,Shopping Mall,Jakarta Pusat,800000000,707500000.0,0.0,28300000.0,28300000.0,679200000.0,0,94979.45,0.0,0
2026-01-30,ATM-001,Shopping Mall,Jakarta Pusat,800000000,679200000.0,0.0,51200000.0,51200000.0,628000000.0,0,89534.25,0.0,0
2026-01-31,ATM-001,Shopping Mall,Jakarta Pusat,800000000,628000000.0,0.0,62800000.0,62800000.0,565200000.0,0,81726.03,0.0,0
2026-02-01,ATM-001,Shopping Mall,Jakarta Pusat,800000000,565200000.0,0.0,101900000.0,101900000.0,463300000.0,0,70445.21,0.0,0
2026-02-02,ATM-001,Shopping Mall,Jakarta Pusat,800000000,463300000.0,0.0,50100000.0,50100000.0,413200000.0,0,60034.25,0.0,0
2026-02-03,ATM-001,Shopping Mall,Jakarta Pusat,800000000,413200000.0,0.0,44000000.0,44000000.0,369200000.0,0,53589.04,0.0,0
2026-02-04,ATM-001,Shopping Mall,Jakarta Pusat,800000000,369200000.0,0.0,53600000.0,53600000.0,315600000.0,0,46904.11,0.0,0
2026-02-05,ATM-001,Shopping Mall,Jakarta Pusat,800000000,315600000.0,0.0,39300000.0,39300000.0,276300000.0,0,40541.1,0.0,0
2026-02-06,ATM-001,Shopping Mall,Jakarta Pusat,800000000,276300000.0,0.0,35600000.0,35600000.0,240700000.0,0,35410.96,0.0,0
2026-02-07,ATM-001,Shopping Mall,Jakarta Pusat,800000000,240700000.0,0.0,92300000.0,92300000.0,148400000.0,0,26650.68,0.0,0
2026-02-08,ATM-001,Shopping Mall,Jakarta Pusat,800000000,148400000.0,651600000.0,86900000.0,86900000.0,713100000.0,0,59006.85,372000.0,0
2026-02-09,ATM-001,Shopping Mall,Jakarta Pusat,800000000,713100000.0,0.0,31600000.0,31600000.0,681500000.0,0,95520.55,0.0,0
2026-02-10,ATM-001,Shopping Mall,Jakarta Pusat,800000000,681500000.0,0.0,71900000.0,71900000.0,609600000.0,0,88431.51,0.0,0
2026-02-11,ATM-001,Shopping Mall,Jakarta Pusat,800000000,609600000.0,0.0,28500000.0,28500000.0,581100000.0,0,81554.79,0.0,0
2026-02-12,ATM-001,Shopping Mall,Jakarta Pusat,800000000,581100000.0,0.0,44500000.0,44500000.0,536600000.0,0,76554.79,0.0,0
2026-02-13,ATM-001,Shopping Mall,Jakarta Pusat,800000000,536600000.0,0.0,65000000.0,65000000.0,471600000.0,0,69054.79,0.0,0
2026-02-14,ATM-001,Shopping Mall,Jakarta Pusat,800000000,471600000.0,0.0,70900000.0,70900000.0,400700000.0,0,59746.58,0.0,0
2026-02-15,ATM-001,Shopping Mall,Jakarta Pusat,800000000,400700000.0,0.0,119000000.0,119000000.0,281700000.0,0,46739.73,0.0,0
2026-02-16,ATM-001,Shopping Mall,Jakarta Pusat,800000000,281700000.0,0.0,57800000.0,57800000.0,223900000.0,0,34630.14,0.0,0
2026-02-17,ATM-001,Shopping Mall,Jakarta Pusat,800000000,223900000.0,0.0,39900000.0,39900000.0,184000000.0,0,27938.36,0.0,0
2026-02-18,ATM-001,Shopping Mall,Jakarta Pusat,800000000,184000000.0,0.0,50100000.0,50100000.0,133900000.0,0,21773.97,0.0,0
2026-02-19,ATM-001,Shopping Mall,Jakarta Pusat,800000000,133900000.0,666100000.0,58700000.0,58700000.0,741300000.0,0,59945.21,372000.0,0
2026-02-20,ATM-001,Shopping Mall,Jakarta Pusat,800000000,741300000.0,0.0,28800000.0,28800000.0,712500000.0,0,99575.34,0.0,0
2026-02-21,ATM-001,Shopping Mall,Jakarta Pusat,800000000,712500000.0,0.0,67800000.0,67800000.0,644700000.0,0,92958.9,0.0,0
2026-02-22,ATM-001,Shopping Mall,Jakarta Pusat,800000000,644700000.0,0.0,79500000.0,79500000.0,565200000.0,0,82869.86,0.0,0
2026-02-23,ATM-001,Shopping Mall,Jakarta Pusat,800000000,565200000.0,0.0,45400000.0,45400000.0,519800000.0,0,74315.07,0.0,0
2026-02-24,ATM-001,Shopping Mall,Jakarta Pusat,800000000,519800000.0,0.0,44400000.0,44400000.0,475400000.0,0,68164.38,0.0,0
2026-02-25,ATM-001,Shopping Mall,Jakarta Pusat,800000000,475400000.0,0.0,51900000.0,51900000.0,423500000.0,0,61568.49,0.0,0
2026-02-26,ATM-001,Shopping Mall,Jakarta Pusat,800000000,423500000.0,0.0,46400000.0,46400000.0,377100000.0,0,54835.62,0.0,0
2026-02-27,ATM-001,Shopping Mall,Jakarta Pusat,800000000,377100000.0,0.0,38900000.0,38900000.0,338200000.0,0,48993.15,0.0,0
2026-02-28,ATM-001,Shopping Mall,Jakarta Pusat,800000000,338200000.0,0.0,66700000.0,66700000.0,271500000.0,0,41760.27,0.0,0
2026-03-01,ATM-001,Shopping Mall,Jakarta Pusat,800000000,271500000.0,0.0,88900000.0,88900000.0,182600000.0,0,31102.74,0.0,0
2026-03-02,ATM-001,Shopping Mall,Jakarta Pusat,800000000,182600000.0,0.0,53300000.0,53300000.0,129300000.0,0,21363.01,0.0,0
2026-03-03,ATM-001,Shopping Mall,Jakarta Pusat,800000000,129300000.0,670700000.0,34400000.0,34400000.0,765600000.0,0,61294.52,372000.0,0
2026-03-04,ATM-001,Shopping Mall,Jakarta Pusat,800000000,765600000.0,0.0,37200000.0,37200000.0,728400000.0,0,102328.77,0.0,0
2026-03-05,ATM-001,Shopping Mall,Jakarta Pusat,800000000,728400000.0,0.0,58200000.0,58200000.0,670200000.0,0,95794.52,0.0,0
2026-03-06,ATM-001,Shopping Mall,Jakarta Pusat,800000000,670200000.0,0.0,56900000.0,56900000.0,613300000.0,0,87910.96,0.0,0
2026-03-07,ATM-001,Shopping Mall,Jakarta Pusat,800000000,613300000.0,0.0,58600000.0,58600000.0,554700000.0,0,80000.0,0.0,0
2026-03-08,ATM-001,Shopping Mall,Jakarta Pusat,800000000,554700000.0,0.0,91000000.0,91000000.0,463700000.0,0,69753.42,0.0,0
2026-03-09,ATM-001,Shopping Mall,Jakarta Pusat,800000000,463700000.0,0.0,61700000.0,61700000.0,402000000.0,0,59294.52,0.0,0
2026-03-10,ATM-001,Shopping Mall,Jakarta Pusat,800000000,402000000.0,0.0,50400000.0,50400000.0,351600000.0,0,51616.44,0.0,0
2026-03-11,ATM-001,Shopping Mall,Jakarta Pusat,800000000,351600000.0,0.0,31500000.0,31500000.0,320100000.0,0,46006.85,0.0,0
2026-03-12,ATM-001,Shopping Mall,Jakarta Pusat,800000000,320100000.0,0.0,61600000.0,61600000.0,258500000.0,0,39630.14,0.0,0
2026-03-13,ATM-001,Shopping Mall,Jakarta Pusat,800000000,258500000.0,0.0,44200000.0,44200000.0,214300000.0,0,32383.56,0.0,0
2026-03-14,ATM-001,Shopping Mall,Jakarta Pusat,800000000,214300000.0,0.0,81200000.0,81200000.0,133100000.0,0,23794.52,0.0,0
2026-03-15,ATM-001,Shopping Mall,Jakarta Pusat,800000000,133100000.0,666900000.0,133200000.0,133200000.0,666800000.0,0,54787.67,372000.0,0
2026-03-16,ATM-001,Shopping Mall,Jakarta Pusat,800000000,666800000.0,0.0,62600000.0,62600000.0,604200000.0,0,87054.79,0.0,0
2026-03-17,ATM-001,Shopping Mall,Jakarta Pusat,800000000,604200000.0,0.0,33700000.0,33700000.0,570500000.0,0,80458.9,0.0,0
2026-03-18,ATM-001,Shopping Mall,Jakarta Pusat,800000000,570500000.0,0.0,46900000.0,46900000.0,523600000.0,0,74938.36,0.0,0
2026-03-19,ATM-001,Shopping Mall,Jakarta Pusat,800000000,523600000.0,0.0,61900000.0,61900000.0,461700000.0,0,67486.3,0.0,0
2026-03-20,ATM-001,Shopping Mall,Jakarta Pusat,800000000,461700000.0,0.0,49300000.0,49300000.0,412400000.0,0,59869.86,0.0,0
2026-03-21,ATM-001,Shopping Mall,Jakarta Pusat,800000000,412400000.0,0.0,90400000.0,90400000.0,322000000.0,0,50301.37,0.0,0
2026-03-22,ATM-001,Shopping Mall,Jakarta Pusat,800000000,322000000.0,0.0,128400000.0,128400000.0,193600000.0,0,35315.07,0.0,0
2026-03-23,ATM-001,Shopping Mall,Jakarta Pusat,800000000,193600000.0,0.0,41300000.0,41300000.0,152300000.0,0,23691.78,0.0,0
2026-03-24,ATM-001,Shopping Mall,Jakarta Pusat,800000000,152300000.0,647700000.0,40400000.0,40400000.0,759600000.0,0,62458.9,372000.0,0
2026-03-25,ATM-001,Shopping Mall,Jakarta Pusat,800000000,759600000.0,0.0,48000000.0,48000000.0,711600000.0,0,100767.12,0.0,0
2026-03-26,ATM-001,Shopping Mall,Jakarta Pusat,800000000,711600000.0,0.0,26900000.0,26900000.0,684700000.0,0,95636.99,0.0,0
2026-03-27,ATM-001,Shopping Mall,Jakarta Pusat,800000000,684700000.0,0.0,45700000.0,45700000.0,639000000.0,0,90664.38,0.0,0
2026-03-28,ATM-001,Shopping Mall,Jakarta Pusat,800000000,639000000.0,0.0,107600000.0,107600000.0,531400000.0,0,80164.38,0.0,0
2026-03-29,ATM-001,Shopping Mall,Jakarta Pusat,800000000,531400000.0,0.0,94500000.0,94500000.0,436900000.0,0,66321.92,0.0,0
2026-03-30,ATM-001,Shopping Mall,Jakarta Pusat,800000000,436900000.0,0.0,60300000.0,60300000.0,376600000.0,0,55719.18,0.0,0
2026-03-31,ATM-001,Shopping Mall,Jakarta Pusat,800000000,376600000.0,0.0,49200000.0,49200000.0,327400000.0,0,48219.18,0.0,0
2026-04-01,ATM-001,Shopping Mall,Jakarta Pusat,800000000,327400000.0,0.0,51500000.0,51500000.0,275900000.0,0,41321.92,0.0,0
2026-04-02,ATM-001,Shopping Mall,Jakarta Pusat,800000000,275900000.0,0.0,53400000.0,53400000.0,222500000.0,0,34136.99,0.0,0
2026-04-03,ATM-001,Shopping Mall,Jakarta Pusat,800000000,222500000.0,0.0,32400000.0,32400000.0,190100000.0,0,28260.27,0.0,0
2026-04-04,ATM-001,Shopping Mall,Jakarta Pusat,800000000,190100000.0,0.0,96000000.0,96000000.0,94100000.0,0,19465.75,0.0,0
2026-04-05,ATM-001,Shopping Mall,Jakarta Pusat,800000000,94100000.0,705900000.0,96800000.0,96800000.0,703200000.0,0,54609.59,372000.0,0
2026-04-06,ATM-001,Shopping Mall,Jakarta Pusat,800000000,703200000.0,0.0,42800000.0,42800000.0,660400000.0,0,93397.26,0.0,0
2026-04-07,ATM-001,Shopping Mall,Jakarta Pusat,800000000,660400000.0,0.0,40800000.0,40800000.0,619600000.0,0,87671.23,0.0,0
2026-04-08,ATM-001,Shopping Mall,Jakarta Pusat,800000000,619600000.0,0.0,35200000.0,35200000.0,584400000.0,0,82465.75,0.0,0
2026-04-09,ATM-001,Shopping Mall,Jakarta Pusat,800000000,584400000.0,0.0,50200000.0,50200000.0,534200000.0,0,76616.44,0.0,0
2026-04-10,ATM-001,Shopping Mall,Jakarta Pusat,800000000,534200000.0,0.0,55800000.0,55800000.0,478400000.0,0,69356.16,0.0,0
2026-04-11,ATM-001,Shopping Mall,Jakarta Pusat,800000000,478400000.0,0.0,67800000.0,67800000.0,410600000.0,0,60890.41,0.0,0
2026-04-12,ATM-001,Shopping Mall,Jakarta Pusat,800000000,410600000.0,0.0,93100000.0,93100000.0,317500000.0,0,49869.86,0.0,0
2026-04-13,ATM-001,Shopping Mall,Jakarta Pusat,800000000,317500000.0,0.0,44900000.0,44900000.0,272600000.0,0,40417.81,0.0,0
2026-04-14,ATM-001,Shopping Mall,Jakarta Pusat,800000000,272600000.0,0.0,47500000.0,47500000.0,225100000.0,0,34089.04,0.0,0
2026-04-15,ATM-001,Shopping Mall,Jakarta Pusat,800000000,225100000.0,0.0,37800000.0,37800000.0,187300000.0,0,28246.58,0.0,0
2026-04-16,ATM-001,Shopping Mall,Jakarta Pusat,800000000,187300000.0,0.0,38600000.0,38600000.0,148700000.0,0,23013.7,0.0,0
2026-04-17,ATM-001,Shopping Mall,Jakarta Pusat,800000000,148700000.0,651300000.0,32700000.0,32700000.0,767300000.0,0,62739.73,372000.0,0
2026-04-18,ATM-001,Shopping Mall,Jakarta Pusat,800000000,767300000.0,0.0,124700000.0,124700000.0,642600000.0,0,96568.49,0.0,0
2026-04-19,ATM-001,Shopping Mall,Jakarta Pusat,800000000,642600000.0,0.0,119400000.0,119400000.0,523200000.0,0,79849.32,0.0,0
2026-04-20,ATM-001,Shopping Mall,Jakarta Pusat,800000000,523200000.0,0.0,39800000.0,39800000.0,483400000.0,0,68945.21,0.0,0
2026-04-21,ATM-001,Shopping Mall,Jakarta Pusat,800000000,483400000.0,0.0,27500000.0,27500000.0,455900000.0,0,64335.62,0.0,0
2026-04-22,ATM-001,Shopping Mall,Jakarta Pusat,800000000,455900000.0,0.0,44300000.0,44300000.0,411600000.0,0,59417.81,0.0,0
2026-04-23,ATM-001,Shopping Mall,Jakarta Pusat,800000000,411600000.0,0.0,48900000.0,48900000.0,362700000.0,0,53034.25,0.0,0
2026-04-24,ATM-001,Shopping Mall,Jakarta Pusat,800000000,362700000.0,0.0,38300000.0,38300000.0,324400000.0,0,47061.64,0.0,0
2026-04-25,ATM-001,Shopping Mall,Jakarta Pusat,800000000,324400000.0,0.0,102600000.0,102600000.0,221800000.0,0,37410.96,0.0,0
2026-04-26,ATM-001,Shopping Mall,Jakarta Pusat,800000000,221800000.0,0.0,93500000.0,93500000.0,128300000.0,0,23979.45,0.0,0
2026-04-27,ATM-001,Shopping Mall,Jakarta Pusat,800000000,128300000.0,671700000.0,32700000.0,32700000.0,767300000.0,0,61342.47,372000.0,0
2026-04-28,ATM-001,Shopping Mall,Jakarta Pusat,800000000,767300000.0,0.0,45800000.0,45800000.0,721500000.0,0,101972.6,0.0,0
